DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO POBLADO;CATEGORIA;CODIGO DE UBIGEO Y CENTRO POBLADO;LONGITUD;LATITUD;ALTITUD;POBLACION;VIVIENDA;AGUA POR RED PUBLICA;ENERGIA ELECTRICA EN LA VIVIENDA;DESAGUE POR RED PUBLICA;VIA DE MAYOR USO;TRANSPORTE DE MAYOR USO;FRECUENCIA;TIEMPO EN MINUTOS HACIA LA CAPITAL DEL DISTRITO;DISTANCIA DEL CENTRO POBLADO HACIA LA CAPITAL DEL DISTRITO(KM);DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO POBLADO EDUCATIVO;DISTANCIA DEL CENTRO POBLADO HACIA EL CENTRO DE SALUD MAS CERCA;ALUMBRADO PUBLICO;TELEFONO PUBLICO;LOCAL COMUNAL;HOSTAL / ALBERGUE;ESTACION DE RADIO;INSTITUCION EDUCATIVA PRIMARIA;INSTITUCION EDUCATIVA SECUNDARIA;ESTABLECIMIENTO/ PUESTO DE SALUD;PUESTO POLICIAL;OFICINA DE CORREO;CABINA DE INTERNET;HELADAS /NEVADAS;GRANIZADAS;LLUVIAS;SEQUIAS;VENDAVALES (VIENTOS FUERTES);INUNDACIONES;DERRUMBES/DESLIZAMIENTOS;HUAYCOS / ALUDES/ALUVIONES;DESERTIFICACIONES;SALINIZACION DE LOS SUELOS;ACTIVIDAD VOLCANICA;SISMOS;TSUNAMI U OLEADAS ANOMALOS;OTROS FENOMENOS NAT.;DERRAME DE SUSTANCIAS O DESECHOS TOXICOS;FUGAS DE GASES TOXICOS;EXPLOSIONES;INCENDIOS Y QUEMAS;CRIANZA DE ANIMALES EN ZONAS URBANAS;INCREMENTO DE ZONAS INDUS. NO AUTORIZADAS;ZONAS AEREOPORTUARIAS;RELLENOS SANITARIOS;SUBVERSIONES Y/O CONFLICTOS SOCIALES;OTROS PELIGROS;UN LECHO DE RIO O QUEBRADA;UN CUARTEL MILITAR O POLICIAL;UNA VIA FERREA;LA EROSION DE RIOS EN LADERAS DE CERROS;BARRANCOS O PRECIPICIOS;OTROS;PISTAS Y VEREDAS EN LA MAYORI DE SUS CALLES Y/O MANZANAS;CANALES DE DRENAJE EN LAS CALLES PARA LA EVACUACION DE LAS AGUA;IDIOMA O LENGUA QUE SE HABLA CON MAYOR FRECUENCIA;UBIGEO;Departamento_1;Provincia_1;Distrito_1;Total_M;Total_F;Total_eess_n;Total_eess_c;Total_eess_r;ambito_descripcion;UBIGEO_1;DOMINIO;ESTRATO;MIEPERHO;INGHOG1D;GASHOG2D;NIVELSOCIAL;POBREZA;Departamento_2;Provincia_2;Distrito_2;anio;etapa;Enf_infecc;Obesidad_Hiperalim;Inf_resperatorias;Enf_Bucales;Enf_Esofago_Estomago;Dorsopatias;Enf_Urinarias;Transtornos_maternos;Enf_digestivas;Sintoma_gen;TOTAL_SINIESTROS
AYACUCHO;SUCRE;CHALCOS;CHALCOS;;509030001;-73.75410397;-13.84796688;3676.5;220;150;si;si;si;;;;0;;0.04;0.09;si;no;si;no;no;si;si;si;no;no;no;si;si;si;si;si;no;si;no;no;no sabe;no;;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;quechua;50903;AYACUCHO;SUCRE;CHALCOS;84;87;70;4061;242;Minsa;50903;5;6;3;25768.09714;13768.98206;C;3;AYACUCHO;SUCRE;CHALCOS;2023;3;4;1;7;1;3;2;2;1;1;5;1
CUSCO;CUSCO;SANTIAGO;;;801050001;-71.91977373;-13.51730827;3578;;;;;;;;;0;;;1.87;si;si;si;si;no;no;no;si;no;no;si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80105;CUSCO;CUSCO;SANTIAGO;171;178;69895;440282;44246;EsSalud;80105;6;2;3;48842.89087;37910.87198;B;3;CUSCO;CUSCO;SANTIAGO;2023;4;17;5;13;27;18;24;12;7;14;19;1
HUANUCO;HUAMALIES;SINGA;SINGA;;1005100001;-76.81241447;-9.388746802;3648.6;;300;si;si;si;;;;0;;0.67;0.29;si;no;si;si;si;si;si;si;no;no;no;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;si;no;no;si;no;no;no;si;no;no;no;quechua;100510;HUANUCO;HUAMALIES;SINGA;94;96;620;26289;1142;Minsa;100510;5;6;3;23344.76733;14903.22819;C;3;HUANUCO;HUAMALIES;SINGA;2023;5;7;2;8;10;7;4;3;0;6;8;1
LIMA;LIMA;PUNTA HERMOSA;PUNTA HERMOSA;;1501260001;-76.82429221;-12.33356761;51.859;4000;5000;si;si;si;;;;0;;;2.38;si;si;si;si;si;si;si;si;si;si;si;no;no;no;no;no;no;no;;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;si;no;no;no;no;si;no;castellano;150126;LIMA;LIMA;PUNTA HERMOSA;96;96;10969;49769;5827;Minsa;150126;8;1;3;26651.4637;29008.77148;C;3;LIMA;LIMA;PUNTA HERMOSA;2023;2;5;2;8;12;3;3;3;2;4;6;13
TUMBES;CONTRALMIRANTE VILLAR;CANOAS DE PUNTA SAL;CANCAS;;2402020001;-80.6511005;-3.942321071;136.5;300;150;si;si;si;;;;0;;0.07;0.37;si;no;si;no;si;si;si;si;si;no;si;no;no;si;si;no;no;no;no;no;no;no;si;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;si;no;no;no;castellano;240202;TUMBES;CONTRALMIRANTE VILLAR;CANOAS DE PUNTA SAL;95;96;1403;39973;2143;Minsa;240202;1;7;3;25243.32422;18963.88249;C;2;TUMBES;CONTRALMIRANTE VILLAR;CANOAS DE PUNTA SAL;2023;5;4;2;7;11;6;2;4;0;3;8;2
AMAZONAS;BONGARA;SAN CARLOS;SAN CARLOS;;103090001;-77.94515458;-5.96608183;1941.7;250;110;si;si;si;;;;0;;0.02;0.23;si;si;si;si;no;si;no;si;;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;castellano;10309;AMAZONAS;BONGARA;SAN CARLOS;76;71;36;1160;164;Minsa;;;;;;;;;AMAZONAS;BONGARA;SAN CARLOS;2023;5;2;1;3;1;2;1;1;0;2;1;1
AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;SANTA ROSA DE HUAYABAMBA;;106100001;-77.45517871;-6.453479384;1769.7;250;70;no;si;no;;;;0;;0.16;0.07;si;no;si;no;no;si;no;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;;no;si;no;no;no;no;no;si;si;castellano;10610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;84;85;16;3062;246;Minsa;;;;;;;;;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;2023;3;1;2;5;2;1;2;2;0;4;0;3
ANCASH;ASUNCION;CHACAS;CHACAS;;204010001;-77.36575231;-9.162360717;3386.7;2450;800;si;si;si;;;;0;;0.65;11.22;;no;si;si;no;si;si;si;no;no;no;si;si;si;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;castellano;20401;ANCASH;ASUNCION;CHACAS;96;96;266;59124;1768;Minsa;;;;;;;;;ANCASH;ASUNCION;CHACAS;2023;2;4;2;9;8;4;4;3;3;2;3;24
ANCASH;BOLOGNESI;CANIS;CANIS;pueblo;205060001;-77.16893044;-10.33893188;2465.3;60;45;si;si;si;;;;0;;0.21;0.14;si;si;si;si;no;si;si;si;si;no;no;no;no;si;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;si;si;no;no;no;no;no;no;castellano;20506;ANCASH;BOLOGNESI;CANIS;76;74;31;3690;238;Minsa;;;;;;;;;ANCASH;BOLOGNESI;CANIS;2023;5;2;2;4;4;3;2;1;0;4;4;1
ANCASH;BOLOGNESI;PACLLON;PACLLON;pueblo;205130001;-77.07168051;;3491.8;500;220;si;si;si;;;;0;;0.03;0.22;si;no;si;no;no;si;si;si;no;no;no;si;no;si;no;si;no;si;si;no;no;no;no;no;no;no;no;no;si;si;no;no;si;no;no;no;no;no;no;no;no;no;no;castellano;20513;ANCASH;BOLOGNESI;PACLLON;86;90;70;6968;604;Minsa;;;;;;;;;ANCASH;BOLOGNESI;PACLLON;2023;5;5;2;8;3;3;2;2;0;5;6;1
